selectielijsten,functie,categorie,onderwerp,omschrijving,waardering,voorbeeldstukken
waterschappen,ONDERSTEUNENDE PROCESSEN,3.7. Personeel,3.7.12. Ontspanning  Personeelsvereni-ging .08.84,Oprichting personeelsvereniging,B 4,
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,"Stukken betreffende aankoop, eigendom en bezit, verkoop, zakelijke rechten, ruilingen, kavelruil",B 5,"Akte aankoop, Besluit en / of conceptakte verkoop, Akte zakelijke recht, Akte ruiling, Akte kavelruil,  Akte ruilverkaveling"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,Overige stukken betreffende de totstandkoming van de akte of het besluit,5 jaar na passeren van de akte,
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,"Stukken betreffende het gebruik, verhuur en verpachting, huur en pacht voor een periode van een jaar",1 jaar na vervallen,1 jarig pachtcontract
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,"Stukken betreffende het gebruik, verhuur en verpachting, huur en pacht voor een periode langer dan een jaar",1 jaar na vervallen,"Huurovereenkomst, Gebruikersovereenkomst"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,"Stukken betreffende het gebruik, verhuur en verpachting, huur en pacht voor onbepaalde tijd",B 5,"Eigendomsbewijs, Gebruikersovereenkomst, Huurovereenkomst"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,"Stukken betreffende bouw, aankoop, verbouw, verkoop van het waterschapsgebouw, de dienstwoningen en de bedrijfsgebouwen",B 5,
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,Stukken betreffende gebouwen en inrichtingen met cultuurhistorische waarde,B 5,"Oprichtingsbesluit museum, Inrichtingsbesluit bezoekerscentrum"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.8 Eigendom en bezit,3.8.1. Eigendom en bezit Gebouwen .07.351 e.v. .07.354.,Stukken betreffende het onderhoud van deze gebouwen Zie ook 3.9 Interne Faciliteiten,10 jaar,
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.1. Inkoop en aanbesteding van diensten en leveringen .07.353 e.v.,Aanbesteding en gunning van diensten en leveringen,10 jaar na vervallen van het contract,"Offerteaanvraag, Inschrijving, Definitief bestek, Uitwerking selectie- en gunningcriteria, Nota van inlichtingen, Procesverbaal van aanbesteding, Verslag van de verificatievergadering, Gunningbrief, Procesverbaal van oplevering"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.1. Inkoop en aanbesteding van diensten en leveringen .07.353 e.v.,Inschrijvingen / offertes van organisaties aan wie de levering niet is gegund,5 jaar,"Inschrijving, Afwijzingsbrief"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.2. Aanbesteding van Werken,Zie 2.3 Werken van het waterschap,,                    
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.3. Offertes ,Offertes waarvan geen gebruik wordt gemaakt,3 jaar,Prijsopgave i.v.m. kostenraming
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.4. Overeenkomsten,Stukken betreffende het aangaan van overeenkomsten,1 jaar na vervallen,"Overeenkomst / contract m.b.t. onderhoud waterschapsgebouw: tuin, schoonmaak, catering, ramen wassen, bliksembeveiliging"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.5. Hulpmiddelen/ benodigdheden .07.353.,Stukken betreffende hulpmiddelen/kantoorbenodigdheden,5 jaar,
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.5. Hulpmiddelen/ benodigdheden .07.353.,Stukken betreffende duurzame gebruiksartikelen,1 jaar na vervallen,Handleiding paternoster
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.5. Hulpmiddelen/ benodigdheden .07.353.,"Stukken betreffende de aanschaf van machines, hard- en software",1 jaar na vervallen,"Garantiebewijs, Handleiding kopieermachine, printer, Handleiding software"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.6. Informatievoor-ziening .07.353 e.v.,"Beheersregels voor archieven, informatievoorziening en automatisering",B 1,"Archiefverordening, Besluit informatiebeheer, Informatiebeleidsplan, Automatiseringsplan, Ordeningsplan / Documentair Structuurplan, Calamiteitenplan, Beveiligingsplan"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.6. Informatievoor-ziening .07.353 e.v.,Stukken betreffende archivering,B 5,"Proces-verbaal van vernietiging, Proces-verbaal van overdracht, Machtiging voor substitutie, Inventaris, Archiefbewerkingsplan"
waterschappen,ONDERSTEUNENDE PROCESSEN,3.9. Interne faciliteiten,3.9.6. Informatievoor-ziening .07.353 e.v.,Abonnementen en lidmaatschappen,1 jaar na vervallen,Lidmaatschap Vereniging voor Waterstaatsgeschiedenis
